Wall time,Step,Value
1583789372.277933,2140,4.639223098754883
1583789484.680258,2150,4.609517574310303
1583789493.463681,2160,4.525187969207764
1583789519.9890368,2190,4.544046878814697
1583789528.8000565,2200,4.567955493927002
1583789537.5230734,2210,4.560725212097168
1583789546.1914544,2220,4.527871131896973
1583789555.0096831,2230,4.55655574798584
1583789563.8708503,2240,4.5547051429748535
1583789581.2160964,2260,4.558234691619873
1583789589.9206913,2270,4.559382438659668
1583789598.57375,2280,4.558068752288818
1583789615.9763987,2300,4.5574188232421875
1583789624.6182168,2310,4.554229259490967
1583789633.6589525,2320,4.555126667022705
1583789642.5769196,2330,4.550750255584717
1583789651.2410831,2340,4.551405906677246
1583789660.2475424,2350,4.549623966217041
1583789669.1708,2360,4.551106929779053
1583789686.7704089,2380,4.549875259399414
1583789695.365618,2390,4.5455732345581055
1583789712.9977698,2410,4.547448635101318
1583789748.0498588,2450,4.548246383666992
1583789756.7106514,2460,4.548289775848389
1583789774.1598616,2480,4.554540157318115
1583789782.9606595,2490,4.547650337219238
1583789900.3434353,2500,5.188435077667236
1583789909.1428094,2510,4.627396106719971
1583789917.8135755,2520,4.482972621917725
1583789926.5167603,2530,4.547475337982178
1583789935.1861706,2540,4.537156581878662
1583789952.6687417,2560,4.4676995277404785
1583789979.182315,2590,4.458493232727051
1583789988.0542982,2600,4.471343040466309
1583789996.8501623,2610,4.470418930053711
1583790005.518374,2620,4.475605010986328
1583790023.0606446,2640,4.4957990646362305
1583790040.2410593,2660,4.500102996826172
1583790057.5868459,2680,4.510982513427734
1583790075.644147,2700,4.510020732879639
1583790094.0042026,2720,4.509057521820068
1583790102.9373703,2730,4.511005401611328
1583790111.8192983,2740,4.511714458465576
1583790120.8267484,2750,4.510106563568115
1583790129.6486597,2760,4.502633571624756
1583790147.4081898,2780,4.4846673011779785
1583790156.1930413,2790,4.4724225997924805
1583790173.867096,2810,4.466660022735596
1583790182.8342252,2820,4.465831756591797
1583790191.6641414,2830,4.467892169952393
1583790209.125948,2850,4.463272571563721
1583790360.2023783,2900,4.548277378082275
1583790377.381779,2920,4.457431793212891
1583790386.1424553,2930,4.452798843383789
1583790404.1506987,2950,4.466922283172607
1583790413.0855815,2960,4.460367679595947
1583790421.7805874,2970,4.437265872955322
1583790430.3752394,2980,4.437609672546387
1583790439.4128466,2990,4.438787937164307
1583790447.9843063,3000,4.445162296295166
1583790456.5999103,3010,4.426032543182373
1583790465.7328055,3020,4.4447736740112305
1583790474.3136215,3030,4.43099308013916
1583790483.0096147,3040,4.4207868576049805
1583790517.6065936,3080,4.4181694984436035
1583790526.3656924,3090,4.40871000289917
1583790543.9048457,3110,4.3975958824157715
1583790570.3134909,3140,4.3853325843811035
1583790605.0475998,3180,4.384547233581543
1583790613.8917809,3190,4.382874965667725
1583790622.4700227,3200,4.38002347946167
1583790631.1252332,3210,4.372372627258301
1583790753.9320273,3230,4.38368558883667
1583790762.5770369,3240,4.381371021270752
1583790771.3253484,3250,4.385049343109131
1583790780.1509044,3260,4.386897563934326
1583790788.9850788,3270,4.332668781280518
1583790797.8879416,3280,4.340182304382324
1583790823.773591,3310,4.2764387130737305
1583790832.4818368,3320,4.289634704589844
1583790849.9236336,3340,4.276550769805908
1583790868.5846338,3360,4.282223701477051
1583790886.6200652,3380,4.275321006774902
1583790904.5899866,3400,4.263119697570801
1583790923.1973612,3420,4.25499963760376
1583790932.2057316,3430,4.251540660858154
1583790941.0435164,3440,4.254246234893799
1583790949.5974226,3450,4.250176429748535
1583790958.256985,3460,4.263063907623291
1583790967.1416984,3470,4.2576775550842285
1583790975.7969608,3480,4.259311676025391
1583790984.5698757,3490,4.2557878494262695
1583790993.1647203,3500,4.255239486694336
1583791010.7735946,3520,4.259206771850586
1583791028.1939104,3540,4.267523765563965
1583791037.0315068,3550,4.266523361206055
1583791055.0993478,3570,4.272121906280518
1583791185.547121,3590,4.19467830657959
1583791195.1648967,3600,4.155808448791504
1583791204.613961,3610,4.20971155166626
1583791213.3192587,3620,4.287559509277344
1583791222.0146997,3630,4.316298484802246
1583791230.6759217,3640,4.311492443084717
1583791239.6540265,3650,4.2880144119262695
1583791248.3566535,3660,4.279947757720947
1583791257.2765512,3670,4.3044939041137695
1583791266.0343833,3680,4.288492202758789
1583791274.9144216,3690,4.303434371948242
1583791292.259641,3710,4.292843341827393
1583791300.9176745,3720,4.294907569885254
1583791318.3380778,3740,4.277079105377197
1583791335.750489,3760,4.264769554138184
1583791344.9834719,3770,4.265280246734619
1583791354.063348,3780,4.259274482727051
1583791362.7945774,3790,4.261795520782471
1583791371.495962,3800,4.262238502502441
1583791389.132343,3820,4.244400978088379
1583791397.74754,3830,4.246289253234863
1583791415.2974133,3850,4.23731803894043
1583791424.1582925,3860,4.235716342926025
1583791432.910092,3870,4.23556661605835
1583791441.6900864,3880,4.229339599609375
1583791450.4085422,3890,4.233954429626465
1583791468.0127072,3910,4.234160900115967
1583791476.8138509,3920,4.232110023498535
1583791590.3151176,3930,4.419258117675781
1583791599.1895292,3940,3.974142074584961
1583791625.2682047,3970,4.298572063446045
1583791642.6938012,3990,4.294748306274414
1583791651.448124,4000,4.28322172164917
1583791668.7680044,4020,4.27026891708374
1583791677.4367137,4030,4.255757808685303
1583791686.035937,4040,4.255105018615723
1583791703.525769,4060,4.263971328735352
1583791712.499343,4070,4.259558200836182
1583791731.654066,4090,4.245420455932617
1583791749.725233,4110,4.239124298095703
1583791793.3380208,4160,4.205107688903809
1583791801.91847,4170,4.2004899978637695
1583791828.1553228,4200,4.18966007232666
1583791837.010206,4210,4.192807197570801
1583791845.7364182,4220,4.191299915313721
1583791854.3708196,4230,4.192115306854248
1583791862.9575255,4240,4.186563014984131
1583791871.6482701,4250,4.181081295013428
1583791889.6234984,4270,4.17894983291626
1583792012.0206728,4290,4.231578350067139
1583792029.4113836,4310,4.036863803863525
1583792047.1539001,4330,4.0255255699157715
1583792072.8887563,4360,4.075134754180908
1583792081.471762,4370,4.049846649169922
1583792107.604506,4400,4.0688605308532715
1583792116.3584325,4410,4.067478656768799
1583792125.1626925,4420,4.090054988861084
1583792133.9617805,4430,4.097916126251221
1583792151.288905,4450,4.102585792541504
1583792159.8673434,4460,4.095732688903809
1583792185.7581422,4490,4.0896453857421875
1583792194.6149917,4500,4.08594274520874
1583792212.0836017,4520,4.090595722198486
1583792238.170457,4550,4.092980861663818
1583792246.8487856,4560,4.091467380523682
1583792264.460112,4580,4.092065334320068
1583792273.1318092,4590,4.089536666870117
1583792281.8247666,4600,4.094319820404053
1583792290.5166295,4610,4.086228370666504
1583792299.2124417,4620,4.083343505859375
1583792307.8015852,4630,4.0822954177856445
1583792316.7934113,4640,4.086083889007568
1583792432.3007011,4650,4.021271228790283
1583792441.17836,4660,3.9813766479492188
1583792449.8484707,4670,3.9536521434783936
1583792458.6496184,4680,3.9571940898895264
1583792467.6897933,4690,4.002596378326416
1583792476.331343,4700,4.028194904327393
1583792493.5669413,4720,4.0262227058410645
1583792511.1372852,4740,4.030448913574219
1583792519.9530933,4750,4.034165859222412
1583792546.2060506,4780,4.01943826675415
1583792555.0789933,4790,4.022680282592773
1583792590.0052342,4830,3.9997639656066895
1583792616.1952813,4860,3.9980554580688477
1583792624.8929334,4870,3.9992544651031494
1583792642.3353598,4890,4.005846977233887
1583792650.9749348,4900,4.010833263397217
1583792668.5161166,4920,4.014359951019287
1583792677.2525086,4930,4.0112409591674805
1583792685.991574,4940,4.017851829528809
1583792712.3106263,4970,4.018287181854248
1583792721.1214006,4980,4.018002510070801
1583792842.1846187,5000,3.2873618602752686
1583792877.4176698,5040,4.013639450073242
1583792886.1804416,5050,3.981250524520874
1583792903.636167,5070,4.016184329986572
1583792912.2980008,5080,4.002686023712158
1583792920.911242,5090,3.9865612983703613
1583792929.5380192,5100,3.989051580429077
1583792938.2926636,5110,3.9996755123138428
1583792947.0050716,5120,4.000378608703613
1583792955.8195922,5130,3.9599409103393555
1583792973.2986233,5150,3.9523026943206787
1583792981.9800663,5160,3.948110342025757
1583792990.682643,5170,3.934359073638916
1583792999.308952,5180,3.920698404312134
1583793007.9502106,5190,3.9414758682250977
1583793016.8578622,5200,3.9415831565856934
1583793025.7253122,5210,3.9385299682617188
1583793052.0477953,5240,3.9406139850616455
1583793060.8013737,5250,3.9484620094299316
1583793069.5343616,5260,3.9541287422180176
1583793121.770309,5320,3.9452552795410156
1583793139.401491,5340,3.9474246501922607
1583793148.0497684,5350,3.9470064640045166
1583793262.9997265,5360,4.100616455078125
1583793271.6234345,5370,3.996201753616333
1583793280.2116191,5380,3.7905991077423096
1583793288.7901442,5390,3.8560335636138916
1583793297.4046452,5400,3.9079091548919678
1583793306.0216942,5410,3.9662280082702637
1583793314.60479,5420,3.968999147415161
1583793323.3465488,5430,3.9288182258605957
1583793333.277285,5440,3.9223248958587646
1583793343.0038645,5450,3.9219467639923096
1583793352.2349591,5460,3.904114007949829
1583793360.9557502,5470,3.921800374984741
1583793370.2858677,5480,3.9275906085968018
1583793378.9743192,5490,3.9073939323425293
1583793387.6274135,5500,3.9065606594085693
1583793404.9301353,5520,3.8892405033111572
